No.,Card No,Employee ID,User name,Date,Time,Terminal,IN/OUT,Door
243,Card,0335,Name,2022-09-04,18:22:10,Terminal,In/Out,Door
244,Card,0362,Name,2022-09-04,18:22:20,Terminal,In/Out,Door
245,Card,2101,Name,2022-09-04,18:24:40,Terminal,In/Out,Door
246,Card,0341,Name,2022-09-04,18:26:31,Terminal,In/Out,Door
247,Card,0350,Name,2022-09-04,18:33:00,Terminal,In/Out,Door
248,Card,0350,Name,2022-09-04,18:34:50,Terminal,In/Out,Door
249,Card,0299,Name,2022-09-04,18:36:33,Terminal,In/Out,Door
250,Card,0259,Name,2022-09-04,07:29:14,Terminal,In/Out,Door
251,Card,0021,Name,2022-09-04,07:58:16,Terminal,In/Out,Door
252,Card,0244,Name,2022-09-04,08:28:00,Terminal,In/Out,Door
253,Card,0088,Name,2022-09-04,09:00:17,Terminal,In/Out,Door
254,Card,3022,Name,2022-09-04,09:00:36,Terminal,In/Out,Door
255,Card,3006,Name,2022-09-04,09:05:13,Terminal,In/Out,Door
256,Card,3027,Name,2022-09-04,09:07:08,Terminal,In/Out,Door
257,Card,0219,Name,2022-09-04,09:11:23,Terminal,In/Out,Door
258,Card,0244,Name,2022-09-04,10:10:14,Terminal,In/Out,Door
259,Card,0244,Name,2022-09-04,10:10:34,Terminal,In/Out,Door
260,Card,0021,Name,2022-09-04,11:48:59,Terminal,In/Out,Door
261,Card,0259,Name,2022-09-04,15:57:51,Terminal,In/Out,Door
262,Card,0364,Name,2022-09-04,17:14:15,Terminal,In/Out,Door
263,Card,0364,Name,2022-09-04,17:16:18,Terminal,In/Out,Door
264,Card,0146,Name,2022-09-04,18:00:17,Terminal,In/Out,Door
265,Card,0021,Name,2022-09-04,18:01:35,Terminal,In/Out,Door
266,Card,0113,Name,2022-09-04,18:03:44,Terminal,In/Out,Door
267,Card,0219,Name,2022-09-04,18:04:17,Terminal,In/Out,Door
268,Card,0219,Name,2022-09-04,18:04:42,Terminal,In/Out,Door
269,Card,0228,Name,2022-09-04,18:06:00,Terminal,In/Out,Door
270,Card,0228,Name,2022-09-04,18:06:04,Terminal,In/Out,Door
271,Card,3029,Name,2022-09-04,18:06:19,Terminal,In/Out,Door
272,Card,3006,Name,2022-09-04,18:06:21,Terminal,In/Out,Door
273,Card,3028,Name,2022-09-04,18:06:25,Terminal,In/Out,Door
274,Card,3030,Name,2022-09-04,18:06:30,Terminal,In/Out,Door
275,Card,3022,Name,2022-09-04,18:06:37,Terminal,In/Out,Door
276,Card,3027,Name,2022-09-04,18:07:35,Terminal,In/Out,Door
277,Card,3030,Name,2022-09-04,18:07:38,Terminal,In/Out,Door
278,Card,0088,Name,2022-09-04,18:11:49,Terminal,In/Out,Door
279,Card,0304,Name,2022-09-04,18:24:51,Terminal,In/Out,Door
280,Card,0304,Name,2022-09-04,05:47:20,Terminal,In/Out,Door
281,Card,0244,Name,2022-09-04,06:01:40,Terminal,In/Out,Door
282,Card,0259,Name,2022-09-04,07:24:48,Terminal,In/Out,Door
283,Card,0331,Name,2022-09-04,07:51:37,Terminal,In/Out,Door
284,Card,0244,Name,2022-09-04,07:52:09,Terminal,In/Out,Door
285,Card,0113,Name,2022-09-04,08:07:14,Terminal,In/Out,Door
286,Card,0259,Name,2022-09-04,08:13:09,Terminal,In/Out,Door
287,Card,0259,Name,2022-09-04,08:15:00,Terminal,In/Out,Door
288,Card,0244,Name,2022-09-04,08:26:10,Terminal,In/Out,Door
289,Card,0259,Name,2022-09-04,08:42:41,Terminal,In/Out,Door
290,Card,0259,Name,2022-09-04,08:45:11,Terminal,In/Out,Door
291,Card,0259,Name,2022-09-04,08:45:59,Terminal,In/Out,Door
292,Card,0146,Name,2022-09-04,08:56:00,Terminal,In/Out,Door
293,Card,3030,Name,2022-09-04,09:06:16,Terminal,In/Out,Door
294,Card,0219,Name,2022-09-04,09:09:32,Terminal,In/Out,Door
295,Card,0228,Name,2022-09-04,09:09:34,Terminal,In/Out,Door
296,Card,0021,Name,2022-09-04,09:35:57,Terminal,In/Out,Door
297,Card,0021,Name,2022-09-04,09:37:09,Terminal,In/Out,Door
298,Card,0021,Name,2022-09-04,09:39:14,Terminal,In/Out,Door
299,Card,0244,Name,2022-09-04,09:39:49,Terminal,In/Out,Door
300,Card,0244,Name,2022-09-04,09:43:06,Terminal,In/Out,Door
301,Card,0021,Name,2022-09-04,10:03:27,Terminal,In/Out,Door
302,Card,0259,Name,2022-09-04,10:07:23,Terminal,In/Out,Door
303,Card,0244,Name,2022-09-04,10:08:24,Terminal,In/Out,Door
304,Card,0259,Name,2022-09-04,10:09:16,Terminal,In/Out,Door
305,Card,0259,Name,2022-09-04,10:15:45,Terminal,In/Out,Door
306,Card,0259,Name,2022-09-04,10:16:21,Terminal,In/Out,Door
307,Card,0165,Name,2022-09-04,11:20:39,Terminal,In/Out,Door
308,Card,3029,Name,2022-09-04,11:34:58,Terminal,In/Out,Door
309,Card,0021,Name,2022-09-04,11:35:45,Terminal,In/Out,Door
310,Card,0165,Name,2022-09-04,11:40:42,Terminal,In/Out,Door
311,Card,5047,Name,2022-09-04,11:44:32,Terminal,In/Out,Door
312,Card,4014,Name,2022-09-04,11:46:06,Terminal,In/Out,Door
313,Card,0165,Name,2022-09-04,11:48:18,Terminal,In/Out,Door
314,Card,0259,Name,2022-09-04,11:56:07,Terminal,In/Out,Door
315,Card,0259,Name,2022-09-04,11:56:46,Terminal,In/Out,Door
316,Card,0021,Name,2022-09-04,12:20:42,Terminal,In/Out,Door
317,Card,0021,Name,2022-09-04,12:23:45,Terminal,In/Out,Door
318,Card,0114,Name,2022-09-04,12:24:40,Terminal,In/Out,Door
319,Card,3022,Name,2022-09-04,12:56:04,Terminal,In/Out,Door
320,Card,0236,Name,2022-09-04,12:56:15,Terminal,In/Out,Door
321,Card,3006,Name,2022-09-04,12:56:47,Terminal,In/Out,Door
322,Card,0236,Name,2022-09-04,12:59:45,Terminal,In/Out,Door
323,Card,0021,Name,2022-09-04,13:12:50,Terminal,In/Out,Door
324,Card,3022,Name,2022-09-04,13:20:45,Terminal,In/Out,Door
325,Card,3006,Name,2022-09-04,13:24:04,Terminal,In/Out,Door
326,Card,0022,Name,2022-09-04,13:55:27,Terminal,In/Out,Door
327,Card,0333,Name,2022-09-04,14:45:41,Terminal,In/Out,Door
328,Card,0333,Name,2022-09-04,14:45:59,Terminal,In/Out,Door
329,Card,0273,Name,2022-09-04,15:35:05,Terminal,In/Out,Door
330,Card,0340,Name,2022-09-04,15:46:17,Terminal,In/Out,Door
331,Card,0146,Name,2022-09-04,15:52:26,Terminal,In/Out,Door
332,Card,0259,Name,2022-09-04,15:54:04,Terminal,In/Out,Door
333,Card,0340,Name,2022-09-04,16:03:54,Terminal,In/Out,Door
334,Card,3006,Name,2022-09-04,16:16:24,Terminal,In/Out,Door
335,Card,2103,Name,2022-09-04,16:20:16,Terminal,In/Out,Door
336,Card,3006,Name,2022-09-04,16:21:15,Terminal,In/Out,Door
337,Card,0114,Name,2022-09-04,16:27:54,Terminal,In/Out,Door
338,Card,0114,Name,2022-09-04,16:29:08,Terminal,In/Out,Door
339,Card,2103,Name,2022-09-04,16:38:29,Terminal,In/Out,Door
340,Card,0021,Name,2022-09-04,17:47:45,Terminal,In/Out,Door
341,Card,0021,Name,2022-09-04,17:50:51,Terminal,In/Out,Door
342,Card,0219,Name,2022-09-04,18:02:35,Terminal,In/Out,Door
343,Card,0219,Name,2022-09-04,18:03:00,Terminal,In/Out,Door
344,Card,0304,Name,2022-09-04,18:18:21,Terminal,In/Out,Door
345,Card,0081,Name,2022-09-04,06:04:17,Terminal,In/Out,Door
346,Card,0114,Name,2022-09-04,06:59:19,Terminal,In/Out,Door
347,Card,0259,Name,2022-09-04,07:05:43,Terminal,In/Out,Door
348,Card,0035,Name,2022-09-04,07:10:00,Terminal,In/Out,Door
349,Card,0259,Name,2022-09-04,07:19:59,Terminal,In/Out,Door
350,Card,0259,Name,2022-09-04,07:26:02,Terminal,In/Out,Door
351,Card,0114,Name,2022-09-04,07:40:32,Terminal,In/Out,Door
352,Card,0267,Name,2022-09-04,07:50:43,Terminal,In/Out,Door
353,Card,0244,Name,2022-09-04,07:53:57,Terminal,In/Out,Door
354,Card,0353,Name,2022-09-04,07:54:31,Terminal,In/Out,Door
355,Card,0122,Name,2022-09-04,08:11:14,Terminal,In/Out,Door
356,Card,0081,Name,2022-09-04,08:11:46,Terminal,In/Out,Door
357,Card,0336,Name,2022-09-04,08:12:48,Terminal,In/Out,Door
358,Card,0267,Name,2022-09-04,08:13:29,Terminal,In/Out,Door
359,Card,0244,Name,2022-09-04,08:27:24,Terminal,In/Out,Door
360,Card,2101,Name,2022-09-04,08:28:38,Terminal,In/Out,Door
361,Card,2101,Name,2022-09-04,08:31:51,Terminal,In/Out,Door
362,Card,2101,Name,2022-09-04,08:32:24,Terminal,In/Out,Door
363,Card,0081,Name,2022-09-04,08:33:47,Terminal,In/Out,Door
364,Card,0333,Name,2022-09-04,08:42:05,Terminal,In/Out,Door
365,Card,0259,Name,2022-09-04,08:48:05,Terminal,In/Out,Door
366,Card,0035,Name,2022-09-04,09:01:54,Terminal,In/Out,Door
367,Card,0314,Name,2022-09-04,09:03:56,Terminal,In/Out,Door
368,Card,0242,Name,2022-09-04,09:06:21,Terminal,In/Out,Door
369,Card,0242,Name,2022-09-04,09:06:26,Terminal,In/Out,Door
370,Card,0225,Name,2022-09-04,09:11:26,Terminal,In/Out,Door
371,Card,0245,Name,2022-09-04,09:13:10,Terminal,In/Out,Door
372,Card,0285,Name,2022-09-04,09:15:55,Terminal,In/Out,Door
373,Card,0165,Name,2022-09-04,09:19:03,Terminal,In/Out,Door
